ementa_id,sequencial_candidato
2013-10-10#REQUERIMENTO#2507#APROVADO,150000008244
2013-08-06#PROJETO DE LEI ORDINÁRIA#105#ARQUIVADO,150000011447
2013-11-28#REQUERIMENTO#2967#APROVADO,150000009212
2013-12-19#PROJETO DE LEI ORDINÁRIA#399#APROVADO,150000011769
2013-10-03#REQUERIMENTO#2391#APROVADO,150000007930
2013-11-26#REQUERIMENTO#2725#APROVADO,150000007930
2013-12-28#REQUERIMENTO#3063#APROVADO,150000011769
2013-12-23#REQUERIMENTO#3266#EM TRAMITAÇÃO,150000011769
2013-12-19#PROJETO DE RESOLUÇÃO#46#APROVADO,150000011769
2013-12-23#REQUERIMENTO#3265#EM TRAMITAÇÃO,150000011769
2013-12-19#PROJETO DE LEI ORDINÁRIA#6#APROVADO,150000011447
2013-12-19#PROJETO DE LEI ORDINÁRIA#462#APROVADO,150000011795
2013-12-19#PROJETO DE LEI ORDINÁRIA#389#APROVADO,150000007930
2013-12-19#PROJETO DE LEI ORDINÁRIA#444#APROVADO,150000008244
2013-12-19#PROJETO DE LEI ORDINÁRIA#392#APROVADO,150000009212
2013-12-19#PROJETO DE LEI ORDINÁRIA#451#APROVADO,150000011795
2013-12-19#PROJETO DE LEI ORDINÁRIA#417#APROVADO,150000011769
2013-12-19#PROJETO DE LEI ORDINÁRIA#342#APROVADO,150000011795
2013-12-19#PROJETO DE LEI ORDINÁRIA#251#APROVADO,150000007207
2013-12-19#PROJETO DE LEI ORDINÁRIA#401#APROVADO,150000011769
2013-12-19#PROJETO DE LEI ORDINÁRIA#406#APROVADO,150000011769
2013-12-19#PROJETO DE LEI ORDINÁRIA#402#APROVADO,150000011769
2013-12-19#PROJETO DE LEI ORDINÁRIA#270#APROVADO,150000007930
2013-12-19#PROJETO DE LEI ORDINÁRIA#398#APROVADO,150000011769
2013-12-19#PROJETO DE LEI ORDINÁRIA#273#APROVADO,150000011430
2013-12-19#PROJETO DE LEI ORDINÁRIA#431#APROVADO,150000002675
2013-12-19#PROJETO DE LEI ORDINÁRIA#428#APROVADO,150000008262
2013-12-19#PROJETO DE LEI ORDINÁRIA#279#APROVADO,150000008262
2013-12-19#PROJETO DE LEI ORDINÁRIA#426#APROVADO,150000008262
2013-12-19#PROJETO DE LEI ORDINÁRIA#289#APROVADO,150000007930
2013-12-19#PROJETO DE LEI ORDINÁRIA#432#APROVADO,150000011430
2013-12-19#PROJETO DE RESOLUÇÃO#39#APROVADO,150000011352
2013-12-19#PROJETO DE LEI ORDINÁRIA#425#APROVADO,150000011786
2013-12-19#PROJETO DE LEI ORDINÁRIA#453#APROVADO,150000008244
2013-12-19#PROJETO DE LEI ORDINÁRIA#298#APROVADO,150000011786
2013-12-19#PROJETO DE LEI ORDINÁRIA#298#APROVADO,150000011352
2013-12-19#PROJETO DE LEI ORDINÁRIA#423#APROVADO,150000011447
2013-12-19#PROJETO DE LEI ORDINÁRIA#429#APROVADO,150000011352
2013-12-19#PROJETO DE LEI ORDINÁRIA#408#APROVADO,150000011769
2013-12-19#PROJETO DE LEI ORDINÁRIA#310#APROVADO,150000011769
2013-12-19#PROJETO DE RESOLUÇÃO#45#APROVADO,150000011769
2013-12-19#PROJETO DE LEI ORDINÁRIA#316#APROVADO,150000011795
2013-12-19#PROJETO DE LEI ORDINÁRIA#424#APROVADO,150000011769
2013-12-19#PROJETO DE LEI ORDINÁRIA#324#APROVADO,150000009212
2013-12-19#PROJETO DE LEI ORDINÁRIA#325#APROVADO,150000009212
2013-12-19#PROJETO DE LEI ORDINÁRIA#404#APROVADO,150000008262
2013-12-19#PROJETO DE LEI ORDINÁRIA#419#APROVADO,150000011430
2013-12-19#PROJETO DE LEI ORDINÁRIA#345#APROVADO,150000011769
2013-12-19#PROJETO DE LEI COMPLEMENTAR#18#APROVADO,150000011795
2013-12-19#PROJETO DE LEI ORDINÁRIA#452#APROVADO,150000011795
2013-12-19#PROJETO DE LEI ORDINÁRIA#349#APROVADO,150000008260
2013-12-19#PROJETO DE LEI ORDINÁRIA#378#APROVADO,150000011769
2013-12-19#PROJETO DE LEI ORDINÁRIA#351#APROVADO,150000009212
2013-12-19#PROJETO DE LEI ORDINÁRIA#467#APROVADO,150000011795
2013-12-19#PROJETO DE LEI ORDINÁRIA#354#APROVADO,150000008244
2013-11-28#REQUERIMENTO#3057#APROVADO,150000007930
2013-12-19#PROJETO DE LEI ORDINÁRIA#391#APROVADO,150000007930
2013-12-19#PROJETO DE LEI ORDINÁRIA#355#APROVADO,150000007930
2013-12-19#PROJETO DE LEI ORDINÁRIA#395#APROVADO,150000011359
2013-12-19#PROJETO DE LEI ORDINÁRIA#339#APROVADO,150000011795
2013-12-19#PROJETO DE LEI ORDINÁRIA#458#APROVADO,150000011359
2013-12-19#PROJETO DE LEI ORDINÁRIA#341#APROVADO,150000011795
2013-12-19#PROJETO DE RESOLUÇÃO#52#APROVADO,150000009212
2013-12-19#PROJETO DE LEI ORDINÁRIA#338#APROVADO,150000011795
2013-12-19#PROJETO DE LEI ORDINÁRIA#375#APROVADO,150000011795
2013-12-19#PROJETO DE LEI ORDINÁRIA#359#APROVADO,150000007930
2013-12-19#PROJETO DE LEI ORDINÁRIA#447#APROVADO,150000011795
2013-12-19#PROJETO DE LEI COMPLEMENTAR#13#APROVADO,150000011795
2013-12-19#PROJETO DE LEI ORDINÁRIA#413#APROVADO,150000007930
2013-12-19#PROJETO DE LEI COMPLEMENTAR#14#APROVADO,150000011795
2013-11-28#REQUERIMENTO#3003#APROVADO,150000009212
2013-12-19#PROJETO DE RESOLUÇÃO#51#APROVADO,150000007930
2013-12-19#PROJETO DE LEI ORDINÁRIA#365#APROVADO,150000007930
2013-12-19#PROJETO DE RESOLUÇÃO#50#APROVADO,150000008262
2013-12-19#PROJETO DE LEI ORDINÁRIA#366#APROVADO,150000011769
2013-12-19#PROJETO DE LEI ORDINÁRIA#446#APROVADO,150000011352
2013-12-19#PROJETO DE LEI ORDINÁRIA#362#APROVADO,150000007930
2013-12-19#PROJETO DE LEI ORDINÁRIA#443#APROVADO,150000008244
2013-11-28#REQUERIMENTO#2989#APROVADO,150000008244
2013-12-19#PROJETO DE LEI ORDINÁRIA#371#APROVADO,150000011352
2013-12-19#PROJETO DE LEI ORDINÁRIA#442#APROVADO,150000011769
2013-12-19#PROJETO DE LEI ORDINÁRIA#416#APROVADO,150000011769
2013-12-19#PROJETO DE LEI ORDINÁRIA#434#APROVADO,150000007930
2013-12-19#PROJETO DE LEI ORDINÁRIA#403#APROVADO,150000011769
2013-12-19#PROJETO DE LEI ORDINÁRIA#213#APROVADO,150000007930
2013-12-19#PROJETO DE LEI ORDINÁRIA#468#APROVADO,150000011352
2013-12-18#PROJETO DE LEI ORDINÁRIA#466#EM TRAMITAÇÃO,150000002705
2013-12-19#REQUERIMENTO#3259#EM TRAMITAÇÃO,150000011776
2013-12-19#REQUERIMENTO#3259#EM TRAMITAÇÃO,150000011777
2013-12-19#REQUERIMENTO#3259#EM TRAMITAÇÃO,150000011786
2013-12-19#REQUERIMENTO#3259#EM TRAMITAÇÃO,150000013214
2013-12-19#REQUERIMENTO#3259#EM TRAMITAÇÃO,150000002675
2013-12-19#REQUERIMENTO#3259#EM TRAMITAÇÃO,150000007930
2013-12-19#REQUERIMENTO#3259#EM TRAMITAÇÃO,150000011769
2013-12-19#REQUERIMENTO#3259#EM TRAMITAÇÃO,150000011359
2013-12-19#REQUERIMENTO#3259#EM TRAMITAÇÃO,150000011430
2013-12-19#REQUERIMENTO#3259#EM TRAMITAÇÃO,150000008251
2013-12-19#REQUERIMENTO#3259#EM TRAMITAÇÃO,150000011785
2013-12-19#REQUERIMENTO#3259#EM TRAMITAÇÃO,150000009212
2013-12-19#REQUERIMENTO#3259#EM TRAMITAÇÃO,150000011365
2013-12-19#REQUERIMENTO#3259#EM TRAMITAÇÃO,150000008244
2013-12-19#PROJETO DE LEI ORDINÁRIA#381#APROVADO,150000007930
2013-12-19#PROJETO DE LEI ORDINÁRIA#418#APROVADO,150000007930
2013-12-19#PROJETO DE LEI ORDINÁRIA#414#APROVADO,150000008244
2013-12-19#PROJETO DE LEI ORDINÁRIA#411#APROVADO,150000011352
2013-10-03#REQUERIMENTO#2422#APROVADO,150000011365
2013-12-19#PROJETO DE RESOLUÇÃO#53#APROVADO,150000008244
2013-12-19#PROJETO DE LEI ORDINÁRIA#461#APROVADO,150000011777
2013-12-19#PROJETO DE LEI ORDINÁRIA#461#APROVADO,150000013214
2013-12-19#PROJETO DE LEI ORDINÁRIA#454#APROVADO,150000008244
2013-12-19#PROJETO DE LEI ORDINÁRIA#440#APROVADO,150000008260
2013-12-19#PROJETO DE LEI ORDINÁRIA#456#APROVADO,150000011430
2013-12-19#PROJETO DE LEI ORDINÁRIA#435#APROVADO,150000007930
2013-12-19#PROJETO DE LEI ORDINÁRIA#445#APROVADO,150000011795
2013-12-19#PROJETO DE LEI ORDINÁRIA#415#APROVADO,150000008244
2013-11-26#REQUERIMENTO#2846#APROVADO,150000007930
2013-12-19#PROJETO DE LEI ORDINÁRIA#405#APROVADO,150000007930
2013-12-19#PROJETO DE LEI ORDINÁRIA#369#APROVADO,150000008262
2013-12-19#PROJETO DE LEI ORDINÁRIA#374#APROVADO,150000007930
2013-12-18#PROJETO DE LEI ORDINÁRIA#464#EM TRAMITAÇÃO,150000002705
2013-12-18#PROJETO DE LEI ORDINÁRIA#463#EM TRAMITAÇÃO,150000002705
2013-12-10#REQUERIMENTO#3116#APROVADO,150000011769
2013-12-18#PROJETO DE LEI ORDINÁRIA#465#EM TRAMITAÇÃO,150000002705
2013-12-18#REQUERIMENTO#3254#EM TRAMITAÇÃO,150000011776
2013-12-18#REQUERIMENTO#3254#EM TRAMITAÇÃO,150000011777
2013-12-18#REQUERIMENTO#3254#EM TRAMITAÇÃO,150000008262
2013-12-18#REQUERIMENTO#3254#EM TRAMITAÇÃO,150000002675
2013-12-18#REQUERIMENTO#3254#EM TRAMITAÇÃO,150000007930
2013-12-18#REQUERIMENTO#3254#EM TRAMITAÇÃO,150000011770
2013-12-18#REQUERIMENTO#3254#EM TRAMITAÇÃO,150000007207
2013-12-18#REQUERIMENTO#3254#EM TRAMITAÇÃO,150000011430
2013-12-18#REQUERIMENTO#3254#EM TRAMITAÇÃO,150000008251
2013-12-18#REQUERIMENTO#3254#EM TRAMITAÇÃO,150000008260
2013-12-18#REQUERIMENTO#3254#EM TRAMITAÇÃO,150000009212
2013-12-18#REQUERIMENTO#3254#EM TRAMITAÇÃO,150000011365
2013-12-18#REQUERIMENTO#3254#EM TRAMITAÇÃO,150000008244
2013-12-17#REQUERIMENTO#3225#EM TRAMITAÇÃO,150000007930
2013-12-17#REQUERIMENTO#3228#EM TRAMITAÇÃO,150000007930
2013-12-16#PROJETO DE LEI ORDINÁRIA#455#EM TRAMITAÇÃO,150000008244
2013-12-12#PROJETO DE LEI ORDINÁRIA#430#APROVADO,150000009212
2013-12-12#PROJETO DE LEI ORDINÁRIA#441#APROVADO,150000011352
2013-12-12#PROJETO DE LEI ORDINÁRIA#409#APROVADO,150000007930
2013-12-12#REQUERIMENTO#3191#APROVADO,150000011777
2013-12-12#REQUERIMENTO#3132#APROVADO,150000013214
2013-12-12#REQUERIMENTO#3189#APROVADO,150000007207
2013-12-12#PROJETO DE LEI ORDINÁRIA#265#APROVADO,150000008262
2013-12-12#PROJETO DE LEI ORDINÁRIA#397#APROVADO,150000011785
2013-12-12#PROJETO DE LEI ORDINÁRIA#263#APROVADO,150000011785
2013-12-12#PROJETO DE LEI ORDINÁRIA#448#APROVADO,150000008262
2013-12-12#REQUERIMENTO#3215#EM TRAMITAÇÃO,150000011777
2013-12-12#REQUERIMENTO#3215#EM TRAMITAÇÃO,150000011448
2013-12-12#REQUERIMENTO#3215#EM TRAMITAÇÃO,150000002675
2013-12-12#REQUERIMENTO#3215#EM TRAMITAÇÃO,150000007930
2013-12-12#REQUERIMENTO#3215#EM TRAMITAÇÃO,150000011352
2013-12-12#REQUERIMENTO#3215#EM TRAMITAÇÃO,150000011770
2013-12-12#REQUERIMENTO#3215#EM TRAMITAÇÃO,150000007207
2013-12-12#REQUERIMENTO#3215#EM TRAMITAÇÃO,150000011359
2013-12-12#REQUERIMENTO#3215#EM TRAMITAÇÃO,150000002688
2013-12-12#REQUERIMENTO#3215#EM TRAMITAÇÃO,150000011785
2013-12-12#REQUERIMENTO#3215#EM TRAMITAÇÃO,150000009212
2013-12-12#REQUERIMENTO#3215#EM TRAMITAÇÃO,150000011447
2013-12-12#REQUERIMENTO#3215#EM TRAMITAÇÃO,150000011365
2013-12-12#REQUERIMENTO#3215#EM TRAMITAÇÃO,150000008244
2013-12-12#PROJETO DE LEI ORDINÁRIA#301#APROVADO,150000011769
2013-12-12#REQUERIMENTO#3115#APROVADO,150000011777
2013-12-12#PROJETO DE LEI ORDINÁRIA#266#APROVADO,150000011795
2013-12-12#PROJETO DE LEI ORDINÁRIA#386#APROVADO,150000011785
2013-12-12#PROJETO DE LEI ORDINÁRIA#394#APROVADO,150000011359
2013-12-12#PROJETO DE LEI ORDINÁRIA#385#APROVADO,150000002675
2013-12-12#PROJETO DE LEI ORDINÁRIA#290#APROVADO,150000011359
2013-12-12#PROJETO DE LEI ORDINÁRIA#330#APROVADO,150000009212
2013-12-12#PROJETO DE LEI ORDINÁRIA#284#APROVADO,150000011359
2013-12-12#PROJETO DE LEI ORDINÁRIA#433#APROVADO,150000008244
2013-12-12#PROJETO DE LEI ORDINÁRIA#287#APROVADO,150000011794
2013-12-12#PROJETO DE LEI ORDINÁRIA#287#APROVADO,150000011359
2013-12-12#PROJETO DE LEI ORDINÁRIA#383#APROVADO,150000011776
2013-12-12#REQUERIMENTO#3188#APROVADO,150000007207
2013-12-12#PROJETO DE LEI ORDINÁRIA#288#APROVADO,150000007930
2013-12-12#REQUERIMENTO#3207#APROVADO,150000008244
2013-12-12#PROJETO DE LEI ORDINÁRIA#283#APROVADO,150000007930
2013-12-12#PROJETO DE LEI ORDINÁRIA#449#APROVADO,150000011352
2013-12-12#PROJETO DE LEI ORDINÁRIA#293#APROVADO,150000011776
2013-12-12#PROJETO DE LEI ORDINÁRIA#450#APROVADO,150000011769
2013-12-12#PROJETO DE LEI ORDINÁRIA#296#APROVADO,150000011776
2013-11-26#REQUERIMENTO#2833#APROVADO,150000011447
2013-12-12#PROJETO DE LEI COMPLEMENTAR#17#APROVADO,150000011795
2013-12-12#PROJETO DE LEI ORDINÁRIA#297#APROVADO,150000011786
2013-12-12#PROJETO DE LEI ORDINÁRIA#297#APROVADO,150000008244
2013-12-12#PROJETO DE RESOLUÇÃO#48#APROVADO,150000008244
2013-12-12#PROJETO DE LEI ORDINÁRIA#300#APROVADO,150000011365
2013-12-12#PROJETO DE LEI ORDINÁRIA#377#APROVADO,150000009212
2013-12-12#PROJETO DE LEI ORDINÁRIA#292#APROVADO,150000011352
2013-12-12#PROJETO DE LEI ORDINÁRIA#294#APROVADO,150000011359
2013-12-12#REQUERIMENTO#3217#EM TRAMITAÇÃO,150000011769
2013-12-12#PROJETO DE LEI ORDINÁRIA#306#APROVADO,150000011769
2013-12-12#PROJETO DE LEI ORDINÁRIA#307#APROVADO,150000002675
2013-12-12#PROJETO DE LEI ORDINÁRIA#437#APROVADO,150000011769
2013-12-12#PROJETO DE LEI ORDINÁRIA#309#APROVADO,150000011786
2013-12-12#PROJETO DE LEI ORDINÁRIA#427#APROVADO,150000009212
2013-12-12#PROJETO DE LEI ORDINÁRIA#305#APROVADO,150000011359
2013-12-12#REQUERIMENTO#3213#EM TRAMITAÇÃO,150000008262
2013-12-12#PROJETO DE LEI ORDINÁRIA#312#APROVADO,150000011776
2013-12-12#PROJETO DE LEI ORDINÁRIA#379#APROVADO,150000011352
2013-12-12#PROJETO DE LEI ORDINÁRIA#314#APROVADO,150000011447
2013-12-12#PROJETO DE LEI ORDINÁRIA#380#APROVADO,150000011786
2013-12-12#PROJETO DE LEI ORDINÁRIA#319#APROVADO,150000011785
2013-12-12#REQUERIMENTO#3190#APROVADO,150000007207
2013-12-12#PROJETO DE LEI ORDINÁRIA#318#APROVADO,150000011359
2013-11-26#REQUERIMENTO#2847#APROVADO,150000007930
2013-12-12#PROJETO DE LEI ORDINÁRIA#387#APROVADO,150000007930
2013-12-12#PROJETO DE LEI ORDINÁRIA#320#APROVADO,150000011785
2013-12-12#PROJETO DE LEI ORDINÁRIA#281#APROVADO,150000007930
2013-12-12#PROJETO DE LEI ORDINÁRIA#323#APROVADO,150000009212
2013-12-12#PROJETO DE LEI ORDINÁRIA#388#APROVADO,150000007930
2013-12-12#PROJETO DE LEI ORDINÁRIA#329#APROVADO,150000008244
2013-12-12#PROJETO DE LEI ORDINÁRIA#327#APROVADO,150000008244
2013-12-12#PROJETO DE LEI ORDINÁRIA#328#APROVADO,150000008244
2013-12-12#PROJETO DE RESOLUÇÃO#43#APROVADO,150000011786
2013-12-12#PROJETO DE LEI ORDINÁRIA#332#APROVADO,150000011776
2013-12-12#PROJETO DE LEI ORDINÁRIA#335#APROVADO,150000009212
2013-12-12#PROJETO DE LEI ORDINÁRIA#348#APROVADO,150000008260
2013-12-12#PROJETO DE LEI ORDINÁRIA#347#APROVADO,150000008260
2013-12-12#PROJETO DE LEI ORDINÁRIA#352#APROVADO,150000009212
2013-12-12#PROJETO DE LEI ORDINÁRIA#350#APROVADO,150000008260
2013-12-12#PROJETO DE LEI ORDINÁRIA#353#APROVADO,150000009212
2013-12-12#PROJETO DE LEI ORDINÁRIA#356#APROVADO,150000007930
2013-12-12#PROJETO DE LEI ORDINÁRIA#343#APROVADO,150000011795
2013-12-12#PROJETO DE LEI ORDINÁRIA#360#APROVADO,150000008244
2013-12-12#PROJETO DE LEI ORDINÁRIA#344#APROVADO,150000011795
2013-12-12#PROJETO DE LEI ORDINÁRIA#372#APROVADO,150000011785
2013-12-12#PROJETO DE LEI ORDINÁRIA#368#APROVADO,150000008262
