ementa_id,entities
2013-04-03#REQUERIMENTO#286#APROVADO,STTP###CÂMARA MUNICIPAL DE CAMPINA GRANDE
2013-04-03#REQUERIMENTO#285#APROVADO,RUA MONTEVIDÉU###BAIRRO DA PRATA
2013-04-03#REQUERIMENTO#662#APROVADO,STTP
2013-04-09#REQUERIMENTO#527#APROVADO,SECRETARIA DE OBRAS###INSTITUTO DOS CEGOS
2013-04-24#REQUERIMENTO#458#APROVADO,CATOLÉ DE BOA VISTA
2013-07-30#REQUERIMENTO#1088#APROVADO,PREFEITURA DE CAMPINA GRANDE###SECRETARIA DE OBRAS
2013-10-16#REQUERIMENTO#2531#APROVADO,GALANTE
2013-12-10#REQUERIMENTO#3116#APROVADO,AV. FLORIANO PEIXOTO
2013-12-10#REQUERIMENTO#2877#APROVADO,SEMAS
2014-04-10#REQUERIMENTO#108#APROVADO,SECRETARIA DE OBRAS
2014-04-15#REQUERIMENTO#172#APROVADO,PRAÇA DA BANDEIRA###CENTRO DA CIDADE
2014-04-23#REQUERIMENTO#344#APROVADO,PMCG
2014-05-28#REQUERIMENTO#710#APROVADO,PMCG
2014-11-18#REQUERIMENTO#2002#APROVADO,STTP
2014-11-18#REQUERIMENTO#2004#APROVADO,STTP###RUA JOÃO PESSOA
2015-02-26#REQUERIMENTO#11#APROVADO,SESUMA###VILA CABRAL DE SANTA TEREZINHA
2015-03-05#REQUERIMENTO#2281#APROVADO,SECRETARIA DE SERVIÇOS URBANOS E MEIO AMBIENTE
2015-04-15#REQUERIMENTO#170#APROVADO,SECRETARIA DE SERVIÇOS URBANOS E MEIO AMBIENTE###SHOPPING CENTRO EDSON DINIZ
2015-08-18#REQUERIMENTO#1192#APROVADO,SECRETARIA DE OBRAS###RESTAURANTE POPULAR
2015-09-08#REQUERIMENTO#1293#APROVADO,SECRETARIA DE OBRAS
2016-07-19#REQUERIMENTO#913#APROVADO,STTP###BAIRRO DO MUTIRÃO
2016-07-19#REQUERIMENTO#912#APROVADO,STTP
2013-04-03#REQUERIMENTO#413#APROVADO,GALANTE
2013-04-09#REQUERIMENTO#753#APROVADO,AÇUDE DO GOVERNO###GALANTE
2013-05-15#REQUERIMENTO#570#APROVADO,SÃO JOSÉ DA MATA###CATOLÉ DE BOA VISTA
2013-05-28#REQUERIMENTO#1035#APROVADO,SECRETARIA DE AGRICULTURA
2013-05-28#REQUERIMENTO#975#APROVADO,BANCO DO NORDESTE
2013-07-30#REQUERIMENTO#1246#APROVADO,SECRETARIA DE AGRICULTURA
2013-07-30#REQUERIMENTO#1409#APROVADO,CONAB
2013-08-21#REQUERIMENTO#1840#APROVADO,PREFEITURA DE CAMPINA GRANDE###SECRETARIA DE AGRICULTURA
2013-10-10#REQUERIMENTO#2517#APROVADO,SECRETARIA DE AGRICULTURA###GALANTE
2013-11-26#REQUERIMENTO#2872#APROVADO,COMPANHIA DE DESENVOLVIMENTO DA PARAÍBA-CINEP###GALANTE
2013-11-26#REQUERIMENTO#2948#APROVADO,GALANTE
2013-11-28#REQUERIMENTO#2805#APROVADO,SECRETARIA DE AGRICULTURA###SÃO JOSÉ DA MATA
2014-03-20#REQUERIMENTO#3082#APROVADO,VILA CABRAL DE SANTA TEREZINHA
2014-04-01#REQUERIMENTO#66#APROVADO,SECRETARIA DE AGRICULTURA###EMBRAPA###INSA
2014-04-10#REQUERIMENTO#145#APROVADO,SECRETARIA DE AGRICULTURA
2014-04-15#REQUERIMENTO#219#APROVADO,SECRETARIA DE AGRICULTURA###MINISTÉRIO DA PESCA E AGRICULTURA
2014-04-15#REQUERIMENTO#196#APROVADO,SECRETARIA DE AGRICULTURA
2014-04-15#REQUERIMENTO#246#APROVADO,SECRETARIA DE AGRICULTURA###LAGOA DE DENTRO
2014-04-15#REQUERIMENTO#247#APROVADO,SECRETARIA DE AGRICULTURA###SÃO JOSÉ DA MATA
